area_fips,county,state,lq
13263,Talbot County,Georgia,0
13265,Taliaferro County,Georgia,0
13267,Tattnall County,Georgia,0
13269,Taylor County,Georgia,1.65
13271,Telfair County,Georgia,0.4
13273,Terrell County,Georgia,0
13275,Thomas County,Georgia,1.33
13277,Tift County,Georgia,0.57
13279,Toombs County,Georgia,0
13281,Towns County,Georgia,0
13283,Treutlen County,Georgia,0
13285,Troup County,Georgia,0.63
13287,Turner County,Georgia,0.56
13289,Twiggs County,Georgia,0.59
13291,Union County,Georgia,0
13293,Upson County,Georgia,1.47
13295,Walker County,Georgia,0.47
13297,Walton County,Georgia,0.76
13299,Ware County,Georgia,1.1
13301,Warren County,Georgia,0
13303,Washington County,Georgia,0
13305,Wayne County,Georgia,0
13307,Webster County,Georgia,0
13309,Wheeler County,Georgia,0
13311,White County,Georgia,0
13313,Whitfield County,Georgia,0.73
13315,Wilcox County,Georgia,0.37
13317,Wilkes County,Georgia,0.73
13319,Wilkinson County,Georgia,0.27
13321,Worth County,Georgia,0
15001,Hawaii County,Hawaii,0.8
15003,Honolulu County,Hawaii,0.83
15005,Kalawao County,Hawaii,0
15007,Kauai County,Hawaii,0
15009,Maui County,Hawaii,0.72
16001,Ada County,Idaho,1.06
16003,Adams County,Idaho,0
16005,Bannock County,Idaho,1.24
16007,Bear Lake County,Idaho,0
16009,Benewah County,Idaho,0
16011,Bingham County,Idaho,0.79
16013,Blaine County,Idaho,0.54
16015,Boise County,Idaho,0
16017,Bonner County,Idaho,0.71
16019,Bonneville County,Idaho,1.32
16021,Boundary County,Idaho,0.72
16023,Butte County,Idaho,0
16025,Camas County,Idaho,0
16027,Canyon County,Idaho,0.91
16029,Caribou County,Idaho,0
16031,Cassia County,Idaho,0.87
16033,Clark County,Idaho,0
16035,Clearwater County,Idaho,0
16037,Custer County,Idaho,0
16039,Elmore County,Idaho,0.82
16041,Franklin County,Idaho,0
16043,Fremont County,Idaho,0
16045,Gem County,Idaho,1.29
16047,Gooding County,Idaho,0
16049,Idaho County,Idaho,0.91
16051,Jefferson County,Idaho,0.6
16053,Jerome County,Idaho,0.42
16055,Kootenai County,Idaho,0.91
16057,Latah County,Idaho,0.88
16059,Lemhi County,Idaho,0.77
16061,Lewis County,Idaho,0.83
16063,Lincoln County,Idaho,0.73
16065,Madison County,Idaho,0.65
16067,Minidoka County,Idaho,0
16069,Nez Perce County,Idaho,1.21
16071,Oneida County,Idaho,0.36
16073,Owyhee County,Idaho,0
16075,Payette County,Idaho,0.96
16077,Power County,Idaho,0
16079,Shoshone County,Idaho,0.75
16081,Teton County,Idaho,0.66
16083,Twin Falls County,Idaho,1.1
16085,Valley County,Idaho,0.68
16087,Washington County,Idaho,0
17001,Adams County,Illinois,1.37
17003,Alexander County,Illinois,0
17005,Bond County,Illinois,0
17007,Boone County,Illinois,0.31
17009,Brown County,Illinois,0.31
17011,Bureau County,Illinois,0
17013,Calhoun County,Illinois,0
17015,Carroll County,Illinois,0
17017,Cass County,Illinois,0.54
17019,Champaign County,Illinois,1.06
17021,Christian County,Illinois,0
17023,Clark County,Illinois,0.44
17025,Clay County,Illinois,0
17027,Clinton County,Illinois,1.01
17029,Coles County,Illinois,1.38
17031,Cook County,Illinois,1.03
17033,Crawford County,Illinois,0
17035,Cumberland County,Illinois,1.17
17037,DeKalb County,Illinois,0.9
17039,De Witt County,Illinois,0.26
17041,Douglas County,Illinois,0.53
17043,DuPage County,Illinois,0.87
17045,Edgar County,Illinois,0
17047,Edwards County,Illinois,0.24
17049,Effingham County,Illinois,1.35
17051,Fayette County,Illinois,0
17053,Ford County,Illinois,0
17055,Franklin County,Illinois,1.26
17057,Fulton County,Illinois,1.58
17059,Gallatin County,Illinois,0
17061,Greene County,Illinois,0
17063,Grundy County,Illinois,0.89
17065,Hamilton County,Illinois,0.69
17067,Hancock County,Illinois,0
17069,Hardin County,Illinois,2.64
17071,Henderson County,Illinois,0.81
17073,Henry County,Illinois,0.84
17075,Iroquois County,Illinois,0
17077,Jackson County,Illinois,1.19
17079,Jasper County,Illinois,0
17081,Jefferson County,Illinois,1.29
17083,Jersey County,Illinois,0
17085,Jo Daviess County,Illinois,0
17087,Johnson County,Illinois,0
17089,Kane County,Illinois,0.82
17091,Kankakee County,Illinois,1.26
17093,Kendall County,Illinois,0.44
17095,Knox County,Illinois,0
17097,Lake County,Illinois,0.68
17099,LaSalle County,Illinois,0.75
17101,Lawrence County,Illinois,0.97
17103,Lee County,Illinois,0
17105,Livingston County,Illinois,0.87
17107,Logan County,Illinois,1.07
17109,McDonough County,Illinois,0.75
17111,McHenry County,Illinois,0.82
17113,McLean County,Illinois,0.83
17115,Macon County,Illinois,1.19
17117,Macoupin County,Illinois,0
17119,Madison County,Illinois,0.94
17121,Marion County,Illinois,1.54
17123,Marshall County,Illinois,1.01
17125,Mason County,Illinois,0.62
17127,Massac County,Illinois,0.96
17129,Menard County,Illinois,0
17131,Mercer County,Illinois,0
17133,Monroe County,Illinois,0.55
17135,Montgomery County,Illinois,1.33
17137,Morgan County,Illinois,1.13
17139,Moultrie County,Illinois,0.99
17141,Ogle County,Illinois,0
17143,Peoria County,Illinois,1.58
17145,Perry County,Illinois,0
17147,Piatt County,Illinois,0.89
17149,Pike County,Illinois,1.25
17151,Pope County,Illinois,0
17153,Pulaski County,Illinois,0
17155,Putnam County,Illinois,0
17157,Randolph County,Illinois,0
17159,Richland County,Illinois,1.24
17161,Rock Island County,Illinois,0.85
17163,St. Clair County,Illinois,1.2
17165,Saline County,Illinois,1.62
17167,Sangamon County,Illinois,1.09
17169,Schuyler County,Illinois,0.74
17171,Scott County,Illinois,0
17173,Shelby County,Illinois,0.85
17175,Stark County,Illinois,0.71
17177,Stephenson County,Illinois,1.05
17179,Tazewell County,Illinois,0.68
17181,Union County,Illinois,0
17183,Vermilion County,Illinois,0.69
17185,Wabash County,Illinois,0
17187,Warren County,Illinois,0
17189,Washington County,Illinois,0
17191,Wayne County,Illinois,0
17193,White County,Illinois,0
17195,Whiteside County,Illinois,0.69
17197,Will County,Illinois,0.8
17199,Williamson County,Illinois,1.29
17201,Winnebago County,Illinois,1.26
17203,Woodford County,Illinois,0.96
18001,Adams County,Indiana,0.53
18003,Allen County,Indiana,1.35
18005,Bartholomew County,Indiana,0.59
18007,Benton County,Indiana,0.31
18009,Blackford County,Indiana,0.81
18011,Boone County,Indiana,0.41
18013,Brown County,Indiana,0.91
18015,Carroll County,Indiana,0
18017,Cass County,Indiana,0
18019,Clark County,Indiana,0.8
18021,Clay County,Indiana,0.51
18023,Clinton County,Indiana,0.68
18025,Crawford County,Indiana,0.45
18027,Daviess County,Indiana,0
18029,Dearborn County,Indiana,0.79
18031,Decatur County,Indiana,0.4
18033,DeKalb County,Indiana,0.58
18035,Delaware County,Indiana,1.44
18037,Dubois County,Indiana,0.93
18039,Elkhart County,Indiana,0.58
18041,Fayette County,Indiana,1.58
18043,Floyd County,Indiana,1.71
18045,Fountain County,Indiana,0
18047,Franklin County,Indiana,0
18049,Fulton County,Indiana,0
18051,Gibson County,Indiana,0
18053,Grant County,Indiana,0
18055,Greene County,Indiana,0
18057,Hamilton County,Indiana,0.85
18059,Hancock County,Indiana,0.68
18061,Harrison County,Indiana,0
18063,Hendricks County,Indiana,0.52
18065,Henry County,Indiana,0.94
18067,Howard County,Indiana,1.05
18069,Huntington County,Indiana,0.9
18071,Jackson County,Indiana,0
18073,Jasper County,Indiana,0.75
18075,Jay County,Indiana,0.83
18077,Jefferson County,Indiana,0.95
18079,Jennings County,Indiana,0.67
18081,Johnson County,Indiana,0.91
18083,Knox County,Indiana,0.94
18085,Kosciusko County,Indiana,0.66
18087,LaGrange County,Indiana,0
18089,Lake County,Indiana,1.28
18091,LaPorte County,Indiana,0.94
18093,Lawrence County,Indiana,1.21
18095,Madison County,Indiana,1.28
18097,Marion County,Indiana,1.15
18099,Marshall County,Indiana,0.68
18101,Martin County,Indiana,0.15
18103,Miami County,Indiana,0
18105,Monroe County,Indiana,1.03
18107,Montgomery County,Indiana,0
18109,Morgan County,Indiana,0.76
18111,Newton County,Indiana,0.49
18113,Noble County,Indiana,0.48
18115,Ohio County,Indiana,0.4
18117,Orange County,Indiana,0
18119,Owen County,Indiana,0
18121,Parke County,Indiana,0
18123,Perry County,Indiana,0.5
18125,Pike County,Indiana,0
18127,Porter County,Indiana,1.06
18129,Posey County,Indiana,0.33
18131,Pulaski County,Indiana,0
18133,Putnam County,Indiana,0
18135,Randolph County,Indiana,0
18137,Ripley County,Indiana,0
18139,Rush County,Indiana,0
18141,St. Joseph County,Indiana,1.22
18143,Scott County,Indiana,0
18145,Shelby County,Indiana,0.52
18147,Spencer County,Indiana,0.39
18149,Starke County,Indiana,0
18151,Steuben County,Indiana,0
18153,Sullivan County,Indiana,0
18155,Switzerland County,Indiana,0
18157,Tippecanoe County,Indiana,1.01
18159,Tipton County,Indiana,0.69
18161,Union County,Indiana,0
18163,Vanderburgh County,Indiana,1.26
18165,Vermillion County,Indiana,0
18167,Vigo County,Indiana,1.36
18169,Wabash County,Indiana,0
18171,Warren County,Indiana,0.95
18173,Warrick County,Indiana,1.67
18175,Washington County,Indiana,0
18177,Wayne County,Indiana,1.43
18179,Wells County,Indiana,1.01
18181,White County,Indiana,0.63
18183,Whitley County,Indiana,0.58
19001,Adair County,Iowa,0
19003,Adams County,Iowa,0
19005,Allamakee County,Iowa,0.82
19007,Appanoose County,Iowa,0
19009,Audubon County,Iowa,0
19011,Benton County,Iowa,0
19013,Black Hawk County,Iowa,1.04
19015,Boone County,Iowa,0.91
19017,Bremer County,Iowa,0
19019,Buchanan County,Iowa,0
19021,Buena Vista County,Iowa,0
19023,Butler County,Iowa,0
19025,Calhoun County,Iowa,0
19027,Carroll County,Iowa,0
19029,Cass County,Iowa,0.88
19031,Cedar County,Iowa,0
19033,Cerro Gordo County,Iowa,1.63
19035,Cherokee County,Iowa,0
19037,Chickasaw County,Iowa,0
